Country,gti_2011,gti_2012,gti_2013,gti_2014,gti_2015,gti_2016,gti_2017,gti_2018,gti_2019,gti_2020,gti_2021
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45350853103767,1.90275443125722,3.16364655177058
Saudi Arabia,3.86239969969566,3.60690869009781,3.01734775542271,4.16725955128,5.86436658317535,5.74614800925447,5.33145894419237,4.95877620242386,4.47803207657854,3.85334229260887,3.11044542008394
Spain,3.91295390036995,3.26514571311521,2.3901157841946,1.84300792500518,1.28304117598762,1.52227131292986,5.15359347538204,4.58390066956663,4.04008138851566,3.44794529002387,2.86052267855758
Ecuador,0.509012002146956,0.29137851716651,1.28304117598762,0.827454623845096,1.39374242911026,0.951377215628609,0.600252192210058,4.34026813812995,3.94174519203327,3.34877019273986,2.76644785139396
Argentina,3.14551016405234,2.81476210104045,2.58554341503478,1.99399462132032,1.15608537318367,1.46038921777557,3.11757287481251,3.3980669644988,3.00665649788775,2.43288896498129,2.65687512231205
Jordan,2.30976857877713,2.61563014344134,2.01114331755601,1.49188290158663,3.34513924041424,4.75259903542241,4.15306282577565,3.9101161669918,4.04658033729902,3.4316363172115,2.59424681353038
Switzerland,2.07653141288783,1.52227131292986,1.05976610192741,0.682788983777564,1.35839136314852,0.827454623845096,1.39374242911026,2.19413294842373,1.66001829413746,2.71527798072124,2.52203993603109
Australia,0.0,0.0,0.0,2.73020905510231,2.78748485822052,2.63649816190538,2.90398603673292,3.09358295120533,2.62821120047527,3.0252804600015,2.43809006686804
Mexico,3.57122138617378,2.97933622389382,2.55889574756864,1.89307856678522,2.57675165565334,3.22428998286819,3.95623893388742,3.76613931666906,3.65401291545778,3.05376072324773,2.42765643630638
Ukraine,3.27309054738173,3.79475119795049,3.33230965967046,3.48587752290695,5.40294601329934,4.94224826079888,4.61046921227955,4.33506356303239,3.83390422151421,2.95684194981384,2.30373384452286
Malaysia,0.29137851716651,2.1802769590485,1.97649946344328,3.13629751481523,2.80802291636014,3.54128326387491,2.94537183694893,2.98486966675291,3.06388926983196,2.90700866060785,2.24744090560375
Paraguay,3.14551016405234,2.70008494434437,4.41533000137909,3.91578236514135,4.39500339016055,4.47458293060951,3.9957482071877,3.73886207384913,3.39635384650989,2.95112588377329,2.19413294842373
Bahrain,1.82213990654113,3.82663139409155,4.47950608691056,4.87154113404705,4.50752129627254,4.38793855575077,4.59083548829611,3.95803371351636,3.25511106015147,2.61984417054517,2.14463485599412
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,2.27291276723959,2.45350853103767,1.90275443125722,1.82213990654113,2.07653141288783
China,5.10824864946076,5.02006436972006,5.7917714604954,6.42019976414897,6.67595805161551,6.10961644182407,5.66926661374947,5.01822157649483,4.18468430134685,2.56786972280787,1.86338488541184
Belgium,1.55162940783867,1.05976610192741,0.682788983777564,3.08379775261779,2.76644785139396,5.78505755749192,5.22991983877401,4.78803605055409,4.1839940017001,3.58787537753399,1.74486745252881
Sweden,1.97649946344328,1.46038921777557,0.951377215628609,0.29137851716651,3.06890946279546,2.75932039666539,3.79258353508905,3.33046124731237,2.85733305852076,2.22119705295536,1.66001829413746
Senegal,2.81476210104045,2.22119705295536,1.68512094627677,0.509012002146956,0.0,0.0,0.0,3.24903397653852,2.66887504911884,2.10746258881228,1.58002476683844
Japan,2.24744090560375,1.68512094627677,0.0,0.0,1.24275573279512,0.827454623845096,0.509012002146956,0.29137851716651,2.54066389814484,1.97649946344328,1.46038921777557
Uruguay,1.32153555161098,0.891630709376568,0.555833180973612,0.0,0.0,0.0,1.73324337382458,1.24275573279512,0.827454623845096,1.82213990654113,1.32153555161098
Rwanda,3.94357023140419,3.68404994482785,4.32338461513615,3.6852791584636,2.99583159617474,2.42239209875119,1.80075657663017,0.0,2.27291276723959,1.73324337382458,1.24275573279512
South Africa,0.891630709376568,0.509012002146956,0.29137851716651,0.0,1.24275573279512,0.827454623845096,0.509012002146956,2.85413164688583,2.28537313848683,1.73324337382458,1.24275573279512
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24275573279512
Morocco,4.65046686813732,4.03353329787611,3.4414585116705,2.85413164688583,2.28537313848683,0.0,0.0,2.73020905510231,2.1661956591839,1.63416619940617,1.15608537318367
